username,time,tweet
Anthony862,2018-10-20 02:07:03,Yg came to my school to perform and students surrounded his car when he was leaving and they pulled out a gun y'allpic.twitter.com/Lv7u22Eu84
Anthony862,2018-10-20 02:03:48,UCI has absolutely lost it. @FamousDexpic.twitter.com/ecHUdO5P0e
Anthony862,2018-10-20 01:46:19,THE GHETTOOOOpic.twitter.com/8mfRxFk2MY - at Bren Events Center
Anthony862,2018-10-20 01:30:16,THIS DEADASS ENDED I...... I HATE PEOPLE YALL RLY HAD TO RUIN IT
Anthony862,2018-10-20 01:40:56,But honestly tho that sucks and asuci is a scam
Anthony862,2018-10-20 01:54:22,Show canceled. Wack ass fuck
Anthony862,2018-10-20 01:59:56,that's UCI culture https://twitter.com/yg/status/1053524806509879296 ...
Anthony862,2018-10-20 01:55:51,Smh people finally collectivize goods and ASUCI has to shut it down https://twitter.com/anthony862/status/1053522174068219905 ...
Anthony862,2018-10-20 01:52:44,this would have never happened if we had tinashe
Anthony862,2018-10-20 01:32:53,LMAO I WANT A REFUND UCI OMFG RIGHT BEFORE YG OMFGG PEOPLE ARE WILDpic.twitter.com/Kxl12M7BQ4
Anthony862,2018-10-20 01:50:22,FUCK UCI WE WANT YG https://twitter.com/anthony862/status/1053522174068219905 ...
Anthony862,2018-10-20 01:48:16,THIS SUCKS ASS THIS IS MY LAST YEAR
Anthony862,2018-10-20 01:48:22,First the frat boys start fighting then y'all start jumping the baracades now we'll never get a good line up again!!
Anthony862,2018-10-20 01:46:07,Not sure why she put that barricade back up given that approximately two dozen people still got through pic.twitter.com/mPwf4MVXjG
Anthony862,2018-10-20 01:45:33,damn UCI people do better. that was honestly ugly
Anthony862,2018-10-20 01:37:37,Aye blood. Bring yo ass out  fuck what UCI saying.. the school don't know shit. The show still going on @YG
Anthony862,2018-10-20 01:43:54,BITCH LMFAO. EVERYONE SAID FUCK THE BARRICADES. Ipic.twitter.com/uLG9iCfKNe
Anthony862,2018-10-20 01:42:23,whats tea! omg
Anthony862,2018-10-20 01:43:15,who started the rumor that shocktoberfest got shut down because @Anthony862 got escorted out by an ambulance???
Anthony862,2018-10-20 01:40:35,THIS IS SOME BS
Anthony862,2018-10-20 01:36:35,THEY GOT THE COPS OUT HERE KICKING US ALL OUT. I DONT FUCK WITH 12 IM OUT GIRLIIES
Anthony862,2018-10-20 01:35:14,THIS IS STUPID
Anthony862,2018-10-20 01:31:09,I DIDNT GET TO SEE YG!
Anthony862,2018-10-20 01:29:16,SHOCKTOBER IS OVER BECAUSE UOU BITCHES CANT ACT
Anthony862,2018-10-20 01:14:45,WAITTT THE GIRLS ARE FIGHTINGGGG
Anthony862,2018-10-20 00:51:41,oh i'm about to go to the snack bar when the mid performs
Anthony862,2018-10-20 00:33:54, TO FREEDOM https://twitter.com/anthony862/status/1053502148896587776 ...
Anthony862,2018-10-20 00:24:20,who gave this guy the soundboard to #QueenRadio with all these explosion effects
Anthony862,2018-10-19 23:52:47,someone blacked out on the floor was wheeled out by paramedics. they good everyone clapped once they rolled her out . I-
Anthony862,2018-10-19 23:44:08,i've been watching people change the floor for the past 15 mins
Anthony862,2018-10-19 23:43:08,i'm sleepy
Anthony862,2018-10-19 21:49:16,Are all y'all in red tonight ready for that shmoke? Genuinely curious.pic.twitter.com/51TZzXIwBa
Anthony862,2018-10-19 21:48:12,hiii. I had 2 drinks at the pub and i'm off..
Anthony862,2018-10-19 20:13:14,Seeing all the first years stop at the Anteatery before going to pregame 
Anthony862,2018-10-19 20:51:17,Imma need someone to take a headcount of all the non bloods (basically everyone) wearing red at shocktoberfest tn. For research purposes only
Anthony862,2018-10-19 21:19:55,Don't play with me https://twitter.com/anthony862/status/1053364067467911168 ...
Anthony862,2018-10-19 21:00:44,one too many people wearing red... interestingpic.twitter.com/RXgWy2Pgxp
Anthony862,2018-10-19 20:46:05,the content i've been waiting for!!!
Anthony862,2018-10-19 20:45:27,PSA: I will be tweeting Shocktoberfest live to give the gworls the tea. mute me if you haven't already
Anthony862,2018-10-19 19:55:43,ok why are people already lined up y'all wild 
Anthony862,2018-10-19 19:53:42,I'm cackling really
Anthony862,2018-10-19 19:53:51,there's kids waiting outside the bren whewwww
Anthony862,2018-10-19 19:41:37,i'm really about to be a big ass bird tonight when I hear that opening to 'Big Bank' @YGpic.twitter.com/zV6BOFUH4d
Anthony862,2018-10-19 18:31:42,going  korean fried chicken
Anthony862,2018-10-12 17:41:36,the acid in my stomach looking for something to break down since I dont have my first meal until 6PMpic.twitter.com/jqPAkAuT1M
Anthony862,2018-10-19 18:00:25,Good one mate https://twitter.com/anthony862/status/1053364067467911168 ...
Anthony862,2018-10-19 11:41:19,good morning everyone  it's YG day
Anthony862,2018-10-19 11:15:12,9 AMs are so much more manageable than 8 AMs.
Anthony862,2018-10-06 17:03:09,when It's Like That comes on and then GERMaine dupri starts talkingpic.twitter.com/5yaEggcsb0
Anthony862,2018-10-19 16:56:04,can someone teach me how to roll up my jeans correctly. i'm currently at gateway
Anthony862,2018-10-19 16:37:38,she's really losing her shit. I have to laugh!
Anthony862,2018-10-19 16:32:54,yt lady at the student center terrace enforcing the no skateboard/scooter policy getting on my nerves
Anthony862,2018-10-19 16:21:20,anyone wanna go to th pubpic.twitter.com/tnEfoZvLuX
Anthony862,2018-10-19 16:11:44,went to whole foods and bought all kinds of stuff!
Anthony862,2018-10-09 22:55:20,Mariah Carey AMAs 2005 - 2018pic.twitter.com/4nfmzc1XL9
Anthony862,2018-10-19 12:56:26,Someone's tinder notifications keep going off in class lmfaoo. Let's get this yeast infection
Anthony862,2018-10-19 15:17:16,going to newps!
