username,time,tweet
Cedrick6631,2016-11-29 23:45:57,smh
Cedrick6631,2016-11-29 23:02:46,Nothing but a fucking bitch move
Cedrick6631,2016-11-29 23:00:23,but I get it back
Cedrick6631,2016-11-29 23:00:10,i'm not even worried about a page anymore I don't have time to be playing with little fucking kids
Cedrick6631,2016-11-29 22:56:53,Who the fuck sit around hacking people all day you know they don't get any pussy
Cedrick6631,2016-11-29 22:55:48,that is because I change the password in this motherfucker hacked me again today you know they don't get any pussy
Cedrick6631,2016-11-29 22:54:47,pic.twitter.com/e9s3XZmGiz
Cedrick6631,2016-11-29 22:52:02,people sit around that don't have shit to do with that life
Cedrick6631,2016-11-29 22:51:33,I already change the password today and he got back in it
Cedrick6631,2016-11-29 22:51:20,how
Cedrick6631,2016-11-29 22:48:13,pic.twitter.com/lc648VIU5N
Cedrick6631,2016-11-29 22:35:04,Hell yeah put the word out there $25000 if they bring me that motherfucker
Cedrick6631,2016-11-29 22:01:29,I would never expect a white person to steel my page
Cedrick6631,2016-11-29 22:00:59,you is a fucking loser
Cedrick6631,2016-11-29 21:59:22,Don't have time to be messing with no fucking losers
Cedrick6631,2018-10-20 14:46:01,Good morning motherfuckers hope you dumb bitches have a good bitch day fucking bitch day
Cedrick6631,2018-10-19 15:11:35,Good morning I feel like slapping the Robo bitch out of somebodypic.twitter.com/20sp8ygcre
Cedrick6631,2018-10-18 15:26:35,Y'all know what I call that sandwich one and you dead Tomato lettuce cheese pinnacles oranges Mustardpic.twitter.com/8ip2MjEm8s
Cedrick6631,2018-10-18 15:13:32,I hate stupid motherfuckers when I tell y'all to do something do it the fucking right way I did not say go fuck and like I said fucking retweet don't fucking like it I say retweet goddamnit damn got dammit retweet I like is not going to get me follow on IG
Cedrick6631,2018-10-18 15:11:18,If I get 10000 followers today I will slap the shit out of my grandma so make sure to retweet and go follow me on IGpic.twitter.com/fHk9SPSyjv
Cedrick6631,2018-10-18 02:22:50,She said she want to smother my dick in some gravy
Cedrick6631,2018-10-18 01:26:58,How you gonna tell me
Cedrick6631,2018-10-18 01:13:54,I am a bad bitchpic.twitter.com/ywNLes8R5I
Cedrick6631,2018-10-18 01:01:35,It is nothing fake
Cedrick6631,2018-10-18 00:34:49,V2
Cedrick6631,2018-10-18 00:32:54,It is really backpic.twitter.com/xkCR78kSCZ
Cedrick6631,2018-10-17 04:47:45,I was about to beat my meat but my dick fell asleep
Cedrick6631,2018-10-17 04:31:57,How do you get your pussy to smell like banana putting
Cedrick6631,2018-10-17 04:23:41,Fuck it I'm tired good night you fucking asshole bitch
Cedrick6631,2018-10-16 11:57:28,Good morning fuck you retarded bitch I don't like you stupid shit I never did The only reason I like you because your grandma cook some good ass Cheese biscuit
Cedrick6631,2018-10-16 05:02:45,I really don't like the way my dick curls every time I look at my dick It is looking back at me
Cedrick6631,2018-10-16 05:00:32,If you suck my dick I will buy you some hot tamales
Cedrick6631,2018-10-16 04:58:07,Just laying in the bed playing with my Corn dog
Cedrick6631,2018-10-15 15:42:47,Smhpic.twitter.com/52gi0f9J6M
Cedrick6631,2018-10-15 15:25:13,Oh my God so bored just want somebody to come over and jingle my balls until I go to sleep
Cedrick6631,2018-10-15 02:14:45,Smh
Cedrick6631,2018-10-15 02:14:29,I am horny as hell I'm bout to fuck a biscuit
Cedrick6631,2018-10-15 02:13:47,Y
Cedrick6631,2018-10-14 23:24:26,Beat your meat once a week and you will live longer
Cedrick6631,2018-10-14 20:26:53,I woke up this morning Thought I had a Catapillar on my dick but it was my dick  hiding Under my hair
Cedrick6631,2018-10-14 20:24:49,Good evening shit face
Cedrick6631,2018-10-14 18:36:58,Go to my page and share the go fund me page please donate you guys I'm just trying to help So please go to my go fund me on my page and donate to the family please You don't got to know them you know me do it from the heart everybody don't have it everybody not rich
Cedrick6631,2018-10-14 18:32:36,Sudden Passing Of My Aunt Ezshunhttps://www.gofundme.com/69a0zjs?pc=tw_dn_cpgnsharemore_r&rcid=r01-153954191918-a49b69a4015b41b0 ...
Cedrick6631,2018-10-14 11:33:02,Huh nigh gyjuyb yuh. King. Hgjcbhf. Tt xhg nice mjvr dhhxd
Cedrick6631,2018-10-13 22:02:35,One of my best videospic.twitter.com/3trjaxrtQi
Cedrick6631,2018-10-13 21:11:53,Good afternoon motherfuckers or good evening what the fuck ever
Cedrick6631,2018-10-12 14:44:40,Oh I feel so better I beat my meat for 45 minutes this morning
Cedrick6631,2018-10-11 23:40:38,She get a new boyfriend every three dayspic.twitter.com/n4xA3DMCYC
Cedrick6631,2018-10-10 10:47:57,Ok
Cedrick6631,2017-07-17 23:47:10,Ok
Cedrick6631,2017-07-17 23:07:52,When are you going gonna pay for it
Cedrick6631,2017-07-17 23:06:55,Ok
Cedrick6631,2017-07-17 23:06:13,Really been a really boring fucking dumbass stupid ass boring fucking dumb shit day
Cedrick6631,2017-07-17 23:01:20,What's good fucking dumbass motherfucker dick sucker
Cedrick6631,2017-07-17 23:00:22,Good afternoon you stupid fuck face
Cedrick6631,2017-07-17 04:28:50,@alaiinag happy birthday turn up
Cedrick6631,2017-07-16 22:51:22,https://vine.co/v/5iQ05E3rzYT  I love that video
Cedrick6631,2017-07-16 22:09:26,Chilling with my fucking little Guy before I take his punk ass back homepic.twitter.com/Y8Ehgynq8Q
Cedrick6631,2017-07-16 21:36:09,Don't be mad at me because your girlfriend want to smell Dick
Cedrick6631,2017-07-16 21:34:27,That is so sweet
Cedrick6631,2017-07-16 21:31:01,He Locked up
Cedrick6631,2017-07-16 18:26:31,Sometimes I still can't believe Vine is gonepic.twitter.com/Z42HZ2QI0l
Cedrick6631,2017-07-16 18:21:43,Oh you know I'm right here I'm not going nowhere
Cedrick6631,2017-07-16 13:58:19,Hahaha
Cedrick6631,2017-07-16 00:30:04,Fucking stupid ass Snapchat won't let me fucking log back in fucking stupid shit
Cedrick6631,2017-07-15 23:02:10,Something is really wrong with my snap I think I am being hacked
Cedrick6631,2017-07-15 13:09:01,You know what they say black girl pussy taste like chicken salad
Cedrick6631,2017-07-15 12:34:57,I'm not afraid to tell y'all I have a little dick in it also curve to the left It is not my fault it don't stand up straight
Cedrick6631,2017-07-15 12:33:27,For real white girls really do have some good ass pussy in the taste taste just like some stew beef
Cedrick6631,2017-07-15 12:30:25,Let me change that up I most definitely love black pussy Yum Yum Yum Yum Yum
Cedrick6631,2017-07-15 12:25:27,I forgot I love black pussy to
Cedrick6631,2017-07-15 12:25:02,Get your fucking ass over here girl and let me drop some of this hamburger in them drawls
Cedrick6631,2017-07-15 12:23:58,I love white pussy
Cedrick6631,2017-07-15 12:19:52,Really so bored right now I wish somebody would come over and rub my little banana pepper
Cedrick6631,2017-07-15 12:15:07,Just sitting here in bed bored rubbing my little pickle
Cedrick6631,2017-07-15 12:13:02,If I let you suck my dick Will you buy me a moon pie
Cedrick6631,2017-07-15 12:10:48,I wake up every morning to say this morning Mr. asshole Donald Trump you're wasting your time get the fuck out of the White House
Cedrick6631,2017-07-15 03:19:21,pic.twitter.com/uNbTTCQA7Q
Cedrick6631,2017-07-15 01:41:28,252 Turnt up tonight it is going down
Cedrick6631,2017-07-15 01:40:52,pic.twitter.com/XRc0363RT2
Cedrick6631,2017-07-14 13:20:37,I love jelly yes I do peanut butter in jelly yes I do yes I do peanut butter and jelly on light bread Yum Yum Yum Yum Yum
Cedrick6631,2017-07-14 13:18:58,I say what's on my mind and I say was what I feel I don't hold back
Cedrick6631,2017-07-14 12:38:42,If I let you suck my dick can ur grandma make me some homemade biscuits
