username,time,tweet
CrownUncrowned,2018-09-18 20:08:07,This is scientifically proven objectively true facts. Please do not attempt to argue or dispute. God bless.pic.twitter.com/NQf7jlVz43
CrownUncrowned,2018-10-19 23:40:50,@Mamoru_SSB Side b automatically forces approaches and fsmash and pivot grab stuff out approaches and when they actually get in roll dsmash. It's the scrubbiest shit but it works too often. Pikmin dying is secretly good for you
CrownUncrowned,2018-10-19 23:36:36,Not liking this within 5 miliseconds of you posting it is my greatest failure
CrownUncrowned,2018-10-19 23:17:56,Like this and I will tell you why you're an absolute cunt for maining your fucking bullshit character
CrownUncrowned,2018-10-15 09:19:21,pic.twitter.com/YfQc06n5n7
CrownUncrowned,2018-10-14 16:11:10,"On the top player topic I think it would be hilarious if @Mamoru_SSB was a top player because people would be like ""how do I win this mu"" and he'd just tweet a video of a rare fish eating its food with the caption ""things to do things to do~~~"""
CrownUncrowned,2018-10-11 23:49:45,@CrownUncrowned I've failed you again.But uhhhhhhhh... its all rage
CrownUncrowned,2018-10-11 22:13:13,Dr. Mario
CrownUncrowned,2018-10-11 02:00:03,if you werent personally traumatized by this move at least once then you dont get to call yourself a veteran come smash ultimatepic.twitter.com/A5q4o9q6Ne
CrownUncrowned,2018-10-11 10:50:16,I am a beacon of knowledge blazing out across a black sea of ignorance
CrownUncrowned,2018-10-11 01:50:11,coolest supers tier listbase vegetas command grab counts cuz its more cinematic than half the supers in the gamepic.twitter.com/BdUtCH18Wa
CrownUncrowned,2018-10-08 21:11:31,New Smash Blog Post! (10/08)Today's Fighter#18: Dr. MarioHe has more attack and launch power than Mario but his jump and recovery is not as good. Pro tip: You can repeatedly press the B button when using his down special Dr. Tornado to float a bit!pic.twitter.com/brUFAtvgHP
CrownUncrowned,2018-10-07 15:04:30,Got 9th at big house yeet yeet
CrownUncrowned,2018-10-06 12:59:24,Powerpuff Girls theme song SLAPS and no one can tell me otherwise.
CrownUncrowned,2018-10-05 23:30:43,"It's grand finals of TBH8:-Hbox is about to win by default because mang0 is too drunk to play-Suddenly Reggie enters the venue-He swiftly 6-0s Hbox each game a 4 stock-Hbox: ""This isn't fair. He wasn't even registered""-Reggie walks up to Hbox-Reggie: ""Please no johns""pic.twitter.com/RiYLoM5H7X"
CrownUncrowned,2018-10-05 20:24:22,How well could my Bowser Jr. place at FNS? What if it does better than my Rosa monkaS.
CrownUncrowned,2018-10-05 16:31:33,I thought we were friends.pic.twitter.com/faC9PHxPMf
CrownUncrowned,2018-10-05 15:53:26,Gotta hop on that unexplained tier list meme.A: 626 Tux~ ARJAY!!!B: DizZy C: Nude Mamoru~ JmonD: Goose Aden E: NapperF: JiN
CrownUncrowned,2018-10-04 23:14:32,Well I went 2-2 and won a money match. No stream time. Didn't do anything special. But I did it all 4HELMET.I'll get 'em next time @CrownUncrowned
CrownUncrowned,2018-10-04 17:48:16,4HELMET all day! Lets get it!Money so EEEZZZZ 
CrownUncrowned,2018-10-04 12:33:26,Got something coming boys @ateyo_pic.twitter.com/9QsG4U9Fo2
CrownUncrowned,2018-10-03 19:06:51,Soul Calibur 6 looks good 
CrownUncrowned,2018-10-03 18:45:56,crown you might just be the most intelligent person i've ever met
CrownUncrowned,2018-10-02 03:29:26,inchikiBi Yao dashina... #PS4sharepic.twitter.com/qHyZ9EWjE4
CrownUncrowned,2018-10-01 20:05:26,When you've been playing Smash since the beginning but you have no notable wins.pic.twitter.com/VVH3liOQzc
CrownUncrowned,2018-09-29 12:26:38,pic.twitter.com/TEEfdBTPql
CrownUncrowned,2018-09-29 12:19:58,Won with cooler! He is od
CrownUncrowned,2018-09-28 15:27:57,*playing set*opponent: *sds*opponent: Oops that suc-Locus: I DID NOT LET MY MANS BREATHE
CrownUncrowned,2018-09-28 15:40:15,Final and only tier list I'll ever make for Smash 4.I tried to be as accurate as possible.pic.twitter.com/SrBgka7qc5
CrownUncrowned,2018-09-27 19:34:27,Things that don't count- Metaknight wins on floaty mains- ZSS Combos on heavies- Your opinion if you main Lucas- ZSS Combos on anyone- Corrin mains without using their fingers
CrownUncrowned,2018-09-27 21:26:17,pic.twitter.com/sXS98WdH20
CrownUncrowned,2018-09-26 14:42:56,SOMEONE PLEASE TELL ME WHERE THE LIE IS pic.twitter.com/zJjWaRmjYR
CrownUncrowned,2018-09-23 17:26:15,Bowsette monkaGIGA
CrownUncrowned,2018-09-23 15:25:05,why do i see Bowsette everywhere past few days
CrownUncrowned,2018-09-19 09:42:37,pic.twitter.com/fS1MUT2T1X
CrownUncrowned,2018-09-18 20:36:05,What if you booted up SSBU for the first time and instead of the main theme Ultimate by Denzel Curry started playing? 
CrownUncrowned,2018-09-18 19:52:05,Peach is also top 5 fun characters. I will make a tier list.
CrownUncrowned,2018-09-18 19:49:00,I'm convinced Bowser Jr. is the most fun character in Smash 4.
CrownUncrowned,2018-09-18 00:22:32,Twitter is a cesspool of mistakes and regrets
CrownUncrowned,2018-09-18 00:27:00,"""Purple""? Cave man speak."
CrownUncrowned,2018-09-17 23:56:53,WHY IS THIS YOUR PINNED TWEET???
CrownUncrowned,2018-09-17 00:41:34,Just cus a character is shit tier doesn't make em hype
CrownUncrowned,2018-09-16 20:52:48,NCG is honored to announce our new player LimaSlayerxx! https://twitter.com/Jw_Smash/status/1041427078778777600 ...
CrownUncrowned,2018-09-13 18:47:27,Isabelle discovers fan artpic.twitter.com/gfuxn9Tvgl
CrownUncrowned,2018-09-13 09:53:55,I feel like shouting out some cool smash people but it's kinda corny
CrownUncrowned,2018-09-08 23:59:52,@CrownUncrowned stop being shit and level these assholes up
CrownUncrowned,2018-09-08 20:40:20,when i say i want a goth gf this is what i meanpic.twitter.com/lhN4veqpiM
CrownUncrowned,2018-09-08 20:44:46,@CrownUncrowned I h8 u
CrownUncrowned,2018-09-07 16:19:41,8.6/10
CrownUncrowned,2018-09-05 23:40:25,this tier list speaks to mepic.twitter.com/vdVKYu7m4d
CrownUncrowned,2018-09-06 04:00:02,Only 90s Kids Remember. https://youtu.be/ZVFpRQdOuQ0 
CrownUncrowned,2018-09-06 12:42:21,When I'm watching subbed anime and I hear the word mamorupic.twitter.com/6NfURm2S74
CrownUncrowned,2018-09-06 10:18:08,Rosalina and Luma jab
CrownUncrowned,2018-09-01 21:36:38,Was Flo-rida ever actually a good rapper or did we let that T-pain feature on Low really carry our opinion of him?
CrownUncrowned,2018-09-01 21:04:48,The boysh 2016
CrownUncrowned,2018-08-28 12:34:26,I hope Dabuz accidentally mains a beloved character like Ike and makes everyone hate them
CrownUncrowned,2018-08-26 23:22:28,OG winning TI and Zain winning shine is the reason i can sleep tonight
CrownUncrowned,2018-08-26 23:17:18,Daisy is the ratchet one. I need to play her.  https://twitter.com/sbpoapipi/status/1033327892925542400 ...
CrownUncrowned,2018-08-26 23:06:55,@CrownUncrowned is my shitposter spirit animal
CrownUncrowned,2018-08-26 22:25:06,Can I get some #TeamDizzy and #TeamMortem
CrownUncrowned,2018-08-26 21:22:17,YEET
CrownUncrowned,2018-08-26 21:15:13,me
CrownUncrowned,2018-08-26 21:12:19,Who else is hyped for that Mortem vs Dizzy runback GRUDGE MATCH ON ICE IN 4K HD BEST QUALITY (MUST SEE) winner takes all vine compilation worldstarhiphop (GONE SEXUAL) despacito REMIX
CrownUncrowned,2018-08-25 21:02:18,Welp out at some shitty place at Shine got Bayoed by Mistake multiple times into Mkleo Cloud in losers. This game is too depressing to play nowadays.
CrownUncrowned,2018-08-23 11:00:26,If Wolf doesn't shout out his boy Raul during his up smash in Ultimate I'm not touching him
CrownUncrowned,2018-08-21 18:51:36,@CrownUncrowned Ive never even seen u in person
CrownUncrowned,2018-08-16 00:50:52,When you Counterpick Lylat and then get lylat'dpic.twitter.com/2bQD0RBIA9
