username,time,tweet
ItsLilbaby_1,2018-05-26 14:48:24,pic.twitter.com/VFz8xPgWgZ
ItsLilbaby_1,2018-10-20 00:12:01,I don't care if the whole world is against you If I fuck with you I fuck with you.
ItsLilbaby_1,2018-10-20 00:12:01,I don't care if the whole world is against you If I fuck with you I fuck with you.
ItsLilbaby_1,2018-10-17 19:54:29,Mfs be thinking I forgot what they said ... ain't no expiration date on disrespect.
ItsLilbaby_1,2018-10-13 21:13:39,A Year from now you can either have a Year of progress or a Year of excuses on why you didn't..
ItsLilbaby_1,2018-10-12 12:32:51,Lying to me has to be the dumbest shit you could do don't do it. Period .
ItsLilbaby_1,2018-10-08 18:22:34,But I ain't gone lie  I miss the old you . 
ItsLilbaby_1,2018-10-06 16:44:54,me getting my shit together is all that matters to me rn.
ItsLilbaby_1,2018-10-05 14:36:04,Who fucking with that drip harder ?  
ItsLilbaby_1,2018-10-03 16:28:37,i'm getting older and shit getting lame to me ..
ItsLilbaby_1,2018-10-02 00:02:37,I can't play shit off.. When I feel some type of way my face gone say it all.
ItsLilbaby_1,2018-09-30 13:37:50,I love that heart to heart shit . Like them deep conversations &  just vibing with somebody I really fuck with .
ItsLilbaby_1,2018-09-28 18:13:58,I don't care if the whole world is against you If I fuck with you I fuck with you.
ItsLilbaby_1,2018-09-26 16:54:39,a mf who care about you gone always show it.. even on bad terms
ItsLilbaby_1,2018-09-25 16:35:41, waa waa waa she carrying my babypic.twitter.com/pjcslrM3Ri
ItsLilbaby_1,2018-09-24 17:20:14,we went through all that just to be strangers again
ItsLilbaby_1,2018-09-22 16:09:00,nobody got me fr they just be talking.
ItsLilbaby_1,2018-09-20 21:16:54,"We to old for that "" On & Off "" shit"
ItsLilbaby_1,2018-09-18 21:32:10,a relationship where they know of us but nothing about us 
ItsLilbaby_1,2018-09-17 22:18:09,Close friends 
ItsLilbaby_1,2018-09-17 16:24:34,I peep SO much shady shit. I rarely say a thing tho. I just move different
ItsLilbaby_1,2018-09-16 12:48:51,Ion even want nobody to have my back i got my own shit
ItsLilbaby_1,2018-09-14 12:31:20,IF YOUR READING THIS. GOD WILL OPEN A DOOR FOR YOU THIS WEEK !
ItsLilbaby_1,2018-09-12 19:43:52,I'm too solid for that disloyal shit !
ItsLilbaby_1,2018-09-10 18:31:29,They be sorry when you find out but ain't sorry when you don't know !
ItsLilbaby_1,2018-09-08 16:40:46,i don't have a type. if we vibe we vibe..
ItsLilbaby_1,2018-09-05 18:12:16,Before you fall in love with me unlove everybody in your past. 
ItsLilbaby_1,2018-09-03 21:47:14,We grown g . I'm not about to play with you .
ItsLilbaby_1,2018-09-02 15:08:32,Be picky with yo time . A lot of mfs don't deserve it .
ItsLilbaby_1,2018-08-30 13:27:16,Nobody gone understand why you fw or love a mf but you
ItsLilbaby_1,2018-08-29 12:57:02,Stop telling your business. Some people talk to you so they can talk about you. 
ItsLilbaby_1,2018-08-27 23:27:53,everybody ain't built how i'm built .
ItsLilbaby_1,2018-08-26 21:54:17,Ima forgive you but I ain't forgetting shit ..
ItsLilbaby_1,2018-08-25 19:19:10,My guard up like a mf .. i don't trust shit
ItsLilbaby_1,2018-08-24 17:26:52,i'm really tryna be with u and i don't think u get that
ItsLilbaby_1,2018-08-22 20:59:28,Worst shit you can do is put me in a position where I gotta show you I don't give a fuck you might not never look at me the same 
ItsLilbaby_1,2018-08-21 20:48:17,Never give up...Shit gone get better
ItsLilbaby_1,2018-08-20 18:53:38,we gotta have a bond dat ain't gon never break  promise me you ain't gone never leave type shit and stand on it !
ItsLilbaby_1,2018-08-19 16:10:46,real luv aint gone fold on u
ItsLilbaby_1,2018-08-18 17:35:59,Haven't felt no real love in a minute
ItsLilbaby_1,2018-08-16 18:08:46,i don't fuck with rumors just ask
ItsLilbaby_1,2018-08-15 15:32:11,2 things I will never forget: The way a mf treated me & What a mf said to me 
ItsLilbaby_1,2018-08-14 16:33:41,Sometimes I feel too fucking real...for these niggas & bitches.
ItsLilbaby_1,2018-08-13 17:41:10,pic.twitter.com/nI2G1Lh24e
ItsLilbaby_1,2018-08-13 17:02:49,Moving different because I need different.
ItsLilbaby_1,2018-08-12 16:37:43,The job you want is coming better finances coming your own place is coming 
ItsLilbaby_1,2018-08-11 21:49:23,leave me out the mix idgaf bout non y'all got goin
ItsLilbaby_1,2018-08-10 18:46:10,Be careful how much u tolerate. You teaching them how to treat you
ItsLilbaby_1,2018-08-09 18:41:57,You don't just stop loving someone.. you either always will or you never did in the first place .
ItsLilbaby_1,2018-08-08 14:17:32,i don't hold grudges.... you did what you did I felt how i felt & it is what it is  but I can't fw you no more .
ItsLilbaby_1,2018-08-07 15:44:40,if we can't argue and bounce back .. ion want no dealings w you . friendship or relationship.
ItsLilbaby_1,2018-08-06 14:43:22,I can honestly say this has been the most eye opening year for me
ItsLilbaby_1,2018-08-05 14:21:24,My heart so big i help people even when i be needing help
ItsLilbaby_1,2018-08-04 14:53:54,I been through enough to know it ain't shit I can't get over
ItsLilbaby_1,2018-08-03 14:43:36,i've learned that God sends you what you need not what you want.
ItsLilbaby_1,2018-08-02 17:04:48,i wish i met some people a little earlier some a little later & some never at all.
ItsLilbaby_1,2018-08-01 21:53:31,Act right and watch how nasty I can get for you ..
ItsLilbaby_1,2018-08-01 12:55:32,can't be out here catching feeling g cause the person you loving could be loving somebody else 
ItsLilbaby_1,2018-07-31 11:20:40,I thought you was healing me but nah g ... you broke me even more .
ItsLilbaby_1,2018-07-30 11:34:42,I don't care for words cause even a fake nigga can say some real shit ..
ItsLilbaby_1,2018-07-29 15:00:09,I ain't going out my  way to fuck with nobody more than they fuck with me 
ItsLilbaby_1,2018-07-28 14:08:59,I thought you was different dawg my fault ...
ItsLilbaby_1,2018-07-27 16:28:24,I ain't got time to repeat the same shit you doing wrong ... you either gone get right or get left .
ItsLilbaby_1,2018-07-26 18:47:57,a girl who wants the best for you is the best for you.. & vice versa
ItsLilbaby_1,2018-07-25 23:18:22,Still holding secrets for mfs that lost my trust 
ItsLilbaby_1,2018-07-25 14:01:27,if u not geeked over me ion want u. tbh.
ItsLilbaby_1,2018-07-24 15:59:36,Ain't nobody gone hold it down like I did & you personally know that 
ItsLilbaby_1,2018-07-23 17:08:59,You don't know pain til you sat and begged God to heal yo heart
ItsLilbaby_1,2018-07-22 15:02:03,if me and you know wassup  don't nothing gotta be explained 
ItsLilbaby_1,2018-07-21 15:18:23,I Rather Deal W Her Attitude Than See Her With Another Nigga 
ItsLilbaby_1,2018-07-20 18:15:50,Every girl ain't replaceable bro ....
ItsLilbaby_1,2018-07-19 16:47:40,Fw someone that make you feel appreciated  even on ya worst days.
ItsLilbaby_1,2018-07-18 22:32:16,she in her feelings because we ain't speaking but she don't even call a nigga
ItsLilbaby_1,2018-07-18 17:43:35,Ion miss nobody I used to fw honestly .
ItsLilbaby_1,2018-07-17 21:44:49,i'm proud of me pic.twitter.com/wP3KnueiXC
ItsLilbaby_1,2018-07-17 16:09:52,never discuss yo shorty to another bitch that's law .
ItsLilbaby_1,2018-07-16 17:00:22,If u got me I got u that's on everything
ItsLilbaby_1,2018-07-15 15:47:32,"i done heard ""i got you"" so much but ain't nobody had me fr."
ItsLilbaby_1,2018-07-15 12:04:50, pic.twitter.com/ps6W8u4Oi0
ItsLilbaby_1,2018-07-14 18:34:46,"""You be trippin"" nah you be lying and I find out"
ItsLilbaby_1,2018-07-14 11:49:37,I got family that ain't even real family that'll beat yo ass bout me 
ItsLilbaby_1,2018-07-13 12:19:46,"i be trying to have that mindset of "" imma do them like they do me"" but it's never in my heart to do em like that "
ItsLilbaby_1,2018-07-12 15:41:07,never get too attached cause people wake up with different feelings everyday...
ItsLilbaby_1,2018-07-11 14:45:02,I was there for you when I wasn't even straight my damn self 
ItsLilbaby_1,2018-07-10 16:18:32,I don't want nobody around me that I always gotta question
ItsLilbaby_1,2018-07-09 20:02:52, i'll go hard for anyone i fw. but i'll go 10x harder for someone showing me they'll do the same for me.
ItsLilbaby_1,2018-07-09 13:16:54,real niggas ain't gone put they shorty in no bad situation eva .
ItsLilbaby_1,2018-07-08 20:43:58,Idgaf how bad you love a person don't let them treat you like no dummy.
ItsLilbaby_1,2018-07-08 11:07:31,so when i distance myself from you question yourself not me.
ItsLilbaby_1,2018-07-07 11:42:23,I'll respect you more if you can admit to the shit you do ... that lying shit gone get you no where 
ItsLilbaby_1,2018-07-07 11:36:13,ain't no point in arguing with a mf that's gone continue to do the same shit you told them that's bothering you .
ItsLilbaby_1,2018-07-06 22:10:51,too many people owe me my time back
ItsLilbaby_1,2018-07-06 16:18:24,My lil annoying ass a have you in love
ItsLilbaby_1,2018-07-05 22:10:45,Ion even feel the same about you nomo and that shit yo fault
ItsLilbaby_1,2018-07-05 11:31:44,y'all needa start talking to god abt y'all problems .. he not gone tell nobody 
ItsLilbaby_1,2018-07-04 19:18:11,By the time they show you love .. you don't even want it anymore.. and that's real af
ItsLilbaby_1,2018-07-04 14:37:32,happy 4th . y'all be safe !
ItsLilbaby_1,2018-07-03 21:15:32,God be showing me everything I need to see..
ItsLilbaby_1,2018-07-03 11:19:53,If we fuckin' don't nobody need to know our business fr
ItsLilbaby_1,2018-07-03 00:06:36,9 times outta 10  the person you tripping over fw somebody else 
ItsLilbaby_1,2018-07-02 12:12:37,i mind my business but trust me i'm paying attention to every lil detail 
ItsLilbaby_1,2018-07-02 00:26:22,once i get attached i start tweaking ova lil shit 
ItsLilbaby_1,2018-07-01 15:04:24,No temporary shit ... I need my dawg to be my dawg forever 
ItsLilbaby_1,2018-07-01 11:30:41,Realize what you got before you lose someone you can't replace... 
ItsLilbaby_1,2018-07-01 00:16:31,pic.twitter.com/NsIub3OHmG
ItsLilbaby_1,2018-06-30 18:22:06,hate sneaky shit. if i feel like some sneaky shit going on ima distance myself..
ItsLilbaby_1,2018-06-30 11:33:50,Can't nobody change the way I feel about you or fw you except for you!
ItsLilbaby_1,2018-06-29 12:10:04,I should've ended a lot of shit before it even started..
ItsLilbaby_1,2018-06-29 12:08:36,Before you do me wrong make sure you never need me again
ItsLilbaby_1,2018-06-28 18:45:35,Moral of the story: pray to God even after he gave you what you were praying for. 
ItsLilbaby_1,2018-06-28 12:13:11,I'll cut yo ass off and forget I did  stop playing
ItsLilbaby_1,2018-06-28 12:10:47,"my definition of ""broke"" is i got money but it's not to spend"
ItsLilbaby_1,2018-06-27 19:24:45,Stay focused they praying on your downfall
ItsLilbaby_1,2018-06-27 16:05:24,If she's a real one you gotta treat her different.
ItsLilbaby_1,2018-06-27 12:27:27,Y'all so called Real niggas be doing a lot of hoe shit
ItsLilbaby_1,2018-06-26 11:00:13,Yo worst enemy be your memory.. let that shit go & live 
ItsLilbaby_1,2018-06-25 13:41:52,I got to keep in mind everybody don't got the same heart as me.
ItsLilbaby_1,2018-06-24 22:13:46,IDC if I end up lonely or friendless GOD jus Keep Removing and Revealing 
ItsLilbaby_1,2018-06-24 14:27:55,Be my peace I already been through enough pain
ItsLilbaby_1,2018-06-22 21:06:41,I need the same consistency & loyalty I give mfs ..
ItsLilbaby_1,2018-06-22 15:38:20,Niggas Still Posting Guns Lol Grow Up
ItsLilbaby_1,2018-06-21 14:05:59,The realist thing you can do for me is keep your word.
ItsLilbaby_1,2018-06-20 21:00:23,I'll give you my last & wont even tell you that was my last .....
ItsLilbaby_1,2018-06-20 11:09:34,reward loyalty with loyalty & reward disloyalty with separation
ItsLilbaby_1,2018-06-19 21:09:04,My Girl So Damn Fine It's Irritating 
ItsLilbaby_1,2018-06-19 15:32:19,Gotta watch the company you keep 
ItsLilbaby_1,2018-06-18 21:54:34,You can't do good if you're wishing bad on others.
ItsLilbaby_1,2018-06-17 19:19:29,make them regret not fucking with you.
ItsLilbaby_1,2018-06-17 11:05:11,I'll walk threw a storm just to come see you 
ItsLilbaby_1,2018-06-16 15:27:46,is Yo Dick Big on soft ? Bitch is yo pussy Wet on dry ?......
ItsLilbaby_1,2018-06-16 09:47:53,i hope u look at me and realize what u had & what u lost
ItsLilbaby_1,2018-06-15 15:29:49,Having someone who can handle all your moods is such a blessing
ItsLilbaby_1,2018-06-14 17:55:25,IT BE THE PRINCIPLE BEHIND SHIT! mfs don't get that though!
ItsLilbaby_1,2018-06-13 19:04:16,what i accepted in the past is something I'll never accept now...
ItsLilbaby_1,2018-06-13 15:00:46,i noticed the realest females don't ask for nothing. all they want is attention truth & sex 
ItsLilbaby_1,2018-06-12 22:07:34,pic.twitter.com/Saq0nbbPSS
ItsLilbaby_1,2018-06-12 19:36:41,All that fake love that's what I don't need
ItsLilbaby_1,2018-06-12 08:37:44,my mindset changing & i don't wanna deal with certain shit anymore
ItsLilbaby_1,2018-06-12 00:01:47,Souf sidepic.twitter.com/McBdUaYglA
ItsLilbaby_1,2018-06-11 16:46:41,I bounced back from every loss I took & I learned from every mistake I made
ItsLilbaby_1,2018-06-11 08:57:48,I'm a blessing don't miss it
ItsLilbaby_1,2018-06-10 18:35:12,How do you expect God to bless you with all that hate in your heart?
ItsLilbaby_1,2018-06-09 17:24:47,u lost a real one u have no idea..
ItsLilbaby_1,2018-06-08 20:48:37,imma fwy exactly how you fwm
ItsLilbaby_1,2018-06-07 18:57:21,You gotta train your mind not to give a fuck .. even when your heart do 
ItsLilbaby_1,2018-06-06 13:00:41,Y'all gotta stop complaining about ppl no supporting you make em have no choice but to support it 
ItsLilbaby_1,2018-06-05 16:17:54,I don't owe nobody shit but distance
ItsLilbaby_1,2018-06-05 01:42:01,Nobody is going to understand why you love someone the way you do except you.
ItsLilbaby_1,2018-06-04 12:00:49,having time vs. making time. there's a difference.
ItsLilbaby_1,2018-06-03 19:50:44,If I want you never worry about who wants me
ItsLilbaby_1,2018-06-03 01:16:44,"I'll hit you with that ""it's cool nvm"" so quick "
ItsLilbaby_1,2018-06-02 14:30:33,Everybody got a dam story to tell when you w/ somebody
ItsLilbaby_1,2018-06-01 12:23:41,Fuck em we ballpic.twitter.com/zaP2f6Fub5
ItsLilbaby_1,2018-06-01 11:48:46,every night i pray shit fall in place literally
ItsLilbaby_1,2018-06-01 09:08:20,It ain't always ya friends  ya family will do ya dirty too
ItsLilbaby_1,2018-06-01 09:00:21,I had needed you then but now it's too late to be loyal
ItsLilbaby_1,2018-06-01 08:56:20,aye JR nigga in my tee grizzley voice 
ItsLilbaby_1,2018-05-31 16:13:37,Money don't make you real being real can't be purchased
ItsLilbaby_1,2018-05-31 13:13:06,We Started Off As Close Friends some how you turned into my girlfriend
ItsLilbaby_1,2018-05-31 13:10:14,Gotta Be Fuccin You Want My Number Own Text For Nothing 
ItsLilbaby_1,2018-05-30 19:28:42,too busy watering my grass to check if yours is greener
ItsLilbaby_1,2018-05-30 16:11:55,You don't know my struggle so you can't feel my hustle 
ItsLilbaby_1,2018-05-30 10:25:10,how u let a nigga w no car drive u crazy
ItsLilbaby_1,2018-05-29 21:25:27,Respect and loyalty takes you a long way..
ItsLilbaby_1,2018-05-29 18:40:42,Want me to keep it real with you  You ain't real to yourself 
ItsLilbaby_1,2018-05-29 16:57:27,I need me a lil baby that's gone be about us and only us  no sides  no entertaining other people  just us 
ItsLilbaby_1,2018-05-29 15:44:43,Don't get in ya feelings when I call shit QUITS!
