username,time,tweet
MsShannonGibbs,2013-09-25 05:34:14,@SenTedCruz Obamacare robbed me of my prescription drug coverage. I'm a 23 yr old disabled mom of a 4 yr old @michellemalkin #MakeDCListen
MsShannonGibbs,2013-09-25 03:09:36,#CruzFilibusterReading idea:Read the entire HHS list of Obamacare waiver recipients! #KeepCruzing #MakeDCListen
MsShannonGibbs,2013-09-24 22:37:12,@tedcruz @SenTedCruz #MakeDCListen #KeepCruzingpic.twitter.com/zISVrgn2QX
MsShannonGibbs,2013-08-18 18:02:52,'Million Muslim March' Scheduled for 9/11 Anniversary Draws Outrage http://shar.es/z1HDq  via @BreitbartNews
MsShannonGibbs,2013-08-18 14:14:23,Facebook removed Things Liberals Hate! They were at 79438 likes. @BreitbartNews @HatingBreitbart #FACEBOOKCENSORSHIPpic.twitter.com/x9Yu5LFUG3
MsShannonGibbs,2013-07-21 22:57:56,Reaction to author Brad Thor's offer to Zimmerman goes from boycott to book burning [photo] http://twitchy.com/2013/07/21/reaction-to-author-brad-thors-offer-to-zimmerman-goes-from-boycott-to-book-burning-photo/#.UexmwnxAoYg.twitter ... via @TwitchyTeam
MsShannonGibbs,2013-07-21 22:49:57,Seriously where are all my Lunacy Fighters!?!? #liberallunacy
MsShannonGibbs,2013-07-19 22:42:41,New vlog On Abortion: http://youtu.be/LHQyTupwIT4 
MsShannonGibbs,2013-07-14 20:28:52,#IfIEverSeeZimmerman I'll tell him I'm happy the media didn't succeed in smearing him.
MsShannonGibbs,2013-07-14 03:12:46,Justice is served!!!! #NotGuilty!
MsShannonGibbs,2013-07-10 20:44:10,@mikejade757 that's all I needed to hear lol
MsShannonGibbs,2013-07-10 20:37:13,@mikejade757 elaborate?
MsShannonGibbs,2013-07-10 20:31:29,So who thinks it's screwed up that trayvon's mom TRADEMARKED his name? #ZimmermanTrial
MsShannonGibbs,2013-07-10 20:21:45,I'm still so surprised that @HatingBreitbart followed little old us!
MsShannonGibbs,2013-07-10 16:56:00,Who else is standing with #zimmerman
MsShannonGibbs,2013-07-06 20:47:39,Isn't it funny how The Tea Party is doing just fine but the occupy movement has died? #breitbartishere #war
MsShannonGibbs,2013-07-06 20:13:39,@HatingBreitbart just followed us! Omg! That's THE COOLEST THING EVER! #BreitbartIsHere
MsShannonGibbs,2013-07-06 18:34:55,Andrew Breitbart is my hero and my inspiration! #WAR #BreitbartIsHere
MsShannonGibbs,2013-07-06 18:24:50,"Watching ""Hating Breitbart"" -Shannon #WAR"
MsShannonGibbs,2013-06-23 10:41:15,@kimmieguy the other one hasn't posted since March and I've had this name for a year.
MsShannonGibbs,2013-06-23 10:22:23,We seriously got a twitter? Hopefully they don't censor like fascistbook! Don't censor me bro #LiberalLunacy -Shannonpic.twitter.com/DTEHmPjmzh
MsShannonGibbs,2013-06-23 09:56:11,@FoxNews @theblaze @BreitbartNews Hundreds of Conservative Facebook pages disappeared in 24hrs. Plz investigate? #censorship #Liberallunacy
MsShannonGibbs,2013-06-23 09:40:05,@kimmieguy still learning here
MsShannonGibbs,2013-06-23 09:38:56,Keep going Snowden! #LiberalLunacy -Shannon         http://www.foxnews.mobi/quickPage.html?page=22995&external=2203703.proteus.fma ...
MsShannonGibbs,2013-06-23 09:32:16,@EdwardBrandon4 can't load it on this phone
MsShannonGibbs,2013-06-23 09:30:43,Trying to see the good in twitter. I can share news quickly and at least the hashtags make sense. #nocensorship #liberallunacy -Shannon
MsShannonGibbs,2013-06-23 09:25:05,@EdwardBrandon4 there's another one? What copy cats! Lol we're the only #LiberalLunacy -Shannon
MsShannonGibbs,2013-06-23 09:14:07,So this is the first #LiberalLunacy tweet. Hopefully my Lunacy Fighters find this! -Shannon
MsShannonGibbs,2014-05-23 19:05:13,Another @Liberal_Lunacy original!pic.twitter.com/Ms4NUw6wEc
MsShannonGibbs,2014-05-11 19:13:57,@kimmieguy my views on the antivax movement. -Shannonhttps://www.facebook.com/LiberalLunacy/posts/615865468503035 ...
MsShannonGibbs,2014-05-10 19:15:18,@shannonrwatts I'm ashamed to share my name with someone so ignorant of the world. You definitely don't represent THIS mom! #LiberalLunacy
MsShannonGibbs,2014-05-07 15:33:10,Dedicated to one of my heroes @PennJillette -Shannonhttps://www.facebook.com/LiberalLunacy/posts/615865468503035 ...
MsShannonGibbs,2014-05-01 15:48:41,A couple of Jackasses! -Shannon #LiberalLunacy #Warpic.twitter.com/3nFTDtVzD0
MsShannonGibbs,2014-04-29 15:04:46,"Ohio 21 Confirmed Measles Cases In 3 Counties: @JennyMcCarthy must be proud! Hope she enjoys suffering she's caused http://dlvr.it/5WtJ6Y """
MsShannonGibbs,2014-04-24 13:30:26,Just a reminder laws can change! #EndObamacare #LiberalLunacypic.twitter.com/iCmbZq2I5O
MsShannonGibbs,2014-04-24 12:23:58,"Always remember if the government tells you it's ""free"" it's being paid for by the taxpayer (you!) #LiberalLunacypic.twitter.com/7I0nZ9kbaA"
MsShannonGibbs,2014-03-22 04:38:24,@brryyccceee. That's amanda bynes
MsShannonGibbs,2014-03-02 11:24:15,RIP Andrew. You'll always be my hero. I aspire to carry on the type of work that you did! #war #Breitbartisherepic.twitter.com/0LouC5yEtR
MsShannonGibbs,2014-02-21 04:04:14,@MissJitter Yeah I typically don't use my twitter is much because people haven't made the jump over to it.
MsShannonGibbs,2014-01-29 07:12:59,@ErichHawbaker glad you found us!
MsShannonGibbs,2014-01-29 07:06:53,@ErichHawbaker I've been here since July ;) people just haven't found me
MsShannonGibbs,2014-01-29 04:51:49,#SOTU #Randrespondspic.twitter.com/HSphcOcKMY
MsShannonGibbs,2014-01-29 03:20:20,Stop using our wounded warriors as props for your rhetoric! #SOTU
MsShannonGibbs,2014-01-29 03:04:36,What are you pissed at you only got 110%  of the vote in Hamilton County Ohio you cheating bastard #SOTU
MsShannonGibbs,2014-01-29 03:02:15,He seriously just admitted that he's going to go over Congress' head to further hurt the 2nd amendment! #SOTU
MsShannonGibbs,2014-01-29 02:49:31,Obutthurt obviously has no idea how economics work if he thinks raising the minimum wage will help anything! #SOTU
MsShannonGibbs,2014-01-29 02:46:30,Well we can't all benefit from affirmative action like you and Moochelle did! #SOTU
MsShannonGibbs,2014-01-29 02:44:48,Verizon AT&T and etc cetera are all in his pocket because he is using them to spy on you! #SOTU
MsShannonGibbs,2014-01-29 02:43:15,Has anyone even tried enrolling into college lately? Hundreds of classes are being cut from community colleges right now! #SOTU
MsShannonGibbs,2014-01-29 02:37:48,Detroit is dead! Liberals murdered it! #SOTU
MsShannonGibbs,2014-01-29 02:37:05,Bullcrap! You just want with democratic voters! NO AMNESTY! #SOTU
MsShannonGibbs,2014-01-29 02:35:07,Global warming is bullshit! I am freezing my ass off! #SOTU
MsShannonGibbs,2014-01-29 02:33:56,Look at all the RINOs! #SOTU
MsShannonGibbs,2014-01-29 02:32:03,OPEN THE KEYSTONE PIPELINE! #SOTU
MsShannonGibbs,2014-01-29 02:29:36,Oh fantastic more spending! If you want to help small business owners to kill #Obamacare! #SOTU
MsShannonGibbs,2014-01-29 02:26:44,How is the economy picking up? Even my fiance is now among the unemployed! #SOTU
MsShannonGibbs,2014-01-29 02:26:06,Your mom was single because she was a whore. #SOTU
MsShannonGibbs,2014-01-29 02:21:19,OBAMACRE IS DESTROYING JOBS! FACT! #SOTU
MsShannonGibbs,2014-01-29 02:18:59,Lies lies lies! I CANNOT KEEP UP WITH THESE LIES! #SOTU
MsShannonGibbs,2014-01-29 02:16:30,Maybe if we want of foreign oil you should let us open the Keystone pipeline! #SOTU
MsShannonGibbs,2014-01-29 02:13:33,Obutthurt schmoozing with Democrats?!?! No!!! #sarcasm #SOTU
MsShannonGibbs,2014-01-29 02:06:29,I want answers on #benghazi #SOTU
MsShannonGibbs,2014-01-29 02:05:14,Eric holder should be in jail! Seeing him makes me ill! #operationfastandfurious #SOTU
MsShannonGibbs,2014-01-29 02:03:08,Moochelle looks terrible #SOTU
MsShannonGibbs,2014-01-29 02:01:12,And so it begins. #SOTU
MsShannonGibbs,2014-01-28 22:50:02,Take that @SUBWAY! I'll make my own! Cheeper and tastes better than your Moochelle Obutthurt food!pic.twitter.com/IKK0EG2VyP
MsShannonGibbs,2014-01-28 19:25:54,Hey Lunacy Fighters! Tonight we will be live tweeting the State of the Union address -Shannon #SOTU
MsShannonGibbs,2013-11-14 12:38:21,@FLOTUS speaking her opinions on other people's weight and lifestyles. #WARpic.twitter.com/Nxj2cLAMwc
MsShannonGibbs,2013-11-14 11:50:50,@kimmieguy thank you!
MsShannonGibbs,2015-01-09 16:51:55,Yep! #GamerGate #NotYourShield #AntiSJW #AnitGamer #antifeminism #WomenAgainstFeminismpic.twitter.com/J7fAOr4eVe
MsShannonGibbs,2015-01-08 14:42:03,@liquidzer0 @keozeo @Moldybars I'm not making any accusations as I have no evidence  but... does anyone else suspect money laundering?
MsShannonGibbs,2015-01-08 14:36:10,@Moldybarspic.twitter.com/NcoCdQjYbv
MsShannonGibbs,2015-01-08 13:59:21,Seriously is the plan to be professional whiners & victims? Oh... yeah... They already mastered that. #GamerGatepic.twitter.com/Cu6W2lmxSF
MsShannonGibbs,2015-01-08 13:29:10,@ComradePotat0 @ausyarr @HeroOfCanton42 figured this was a troll. I WANT to believe that people can't be this genuinely terrible but I do.
MsShannonGibbs,2015-01-08 13:14:02,@ausyarr @HeroOfCanton42 I just muted him for my own sanity. It's to early for this crap
MsShannonGibbs,2015-01-08 13:07:06,@ausyarr @HeroOfCanton42 I'm looking at his feed now. I may wretch
MsShannonGibbs,2015-01-08 12:57:53,Uhm... WAT? #GamerGate #NotYourShield #CharlieHebdo #SJW #AntiSJW #ParisShooting #JeSuisCharliepic.twitter.com/HWScgekxxX
MsShannonGibbs,2015-01-07 21:48:35,@rhettandlink my 5 year old son asked me to send this he's a big fan #GMMwheelhttps://plus.google.com/app/basic/photos/115940310330884565467/album/6101702992353115377/6101702992897289746?cbp=u67m7xvk733n&sview=2&cid=5&soc-app=115&soc-platform=1&spath=%2Fapp%2Fbasic%2Fstream&sparm=cbp%3D19revjly17yoe%26sview%3D31%26cid%3D5%26soc-app%3D115%26soc-platform%3D1 ...
MsShannonGibbs,2015-01-07 13:46:01,@WriterTheWatson yup!
MsShannonGibbs,2015-01-07 13:45:28,@Darkness8296 @Kapot333 I wish they were
MsShannonGibbs,2015-01-07 13:44:48,@WriterTheWatson & encouraged They're so desperate 2 b damaged disabled unique they do this. Its disrespectful to ppl w/ real disabilities
MsShannonGibbs,2015-01-07 13:39:57,"@WriterTheWatson really wanna blow your mind? Look up ""headmates"" its like disassociative personality disorder only fake celebrated (1/2)"
MsShannonGibbs,2015-01-07 13:35:38,@WriterTheWatson they legitimately believe they're animals or other species trapped in a human body
MsShannonGibbs,2015-01-07 13:30:38,Guys... The #SJW's have gotten out of hand... #SpecialSnowflake #AntiSJW #WomenAgainstFeminism #GamerGatepic.twitter.com/7dj0RyPllR
MsShannonGibbs,2015-01-07 13:20:37,#WomenAgainstFeminism #antifeminist #AntiSJWpic.twitter.com/zIFTAvTQ1k
MsShannonGibbs,2015-01-06 22:24:04,@Gigglemittens sweetest cat in the worldpic.twitter.com/AO2xbw1Xs4
MsShannonGibbs,2015-01-06 22:22:04,@Gigglemittens reminds me of my Colbypic.twitter.com/rQ1PWdU4WP
MsShannonGibbs,2015-01-06 21:48:07,@Gigglemittens ohhh pretty!pic.twitter.com/FwOP3sxjUe
MsShannonGibbs,2015-01-06 21:45:00,@Gigglemittens lol
MsShannonGibbs,2015-01-06 21:31:41,@Gigglemittens I decided my next cat years from now will be named after you
MsShannonGibbs,2015-01-06 21:29:38,@Gigglemittens you have the best cat name ever
MsShannonGibbs,2015-01-06 21:19:00,"""FACTS AND LOGIC?! SILENCE PATRIARCHY!"" #GamerGate #NotYourShield #WomenAgainstFeminismpic.twitter.com/FQkjoCUmAg"
MsShannonGibbs,2015-01-06 21:13:18,@ForOurHobby they love each other
MsShannonGibbs,2015-01-06 21:12:20,@WilliamBakerGG awww! This was Chaos. He was my baby. Died of a gentic defect.pic.twitter.com/A9Jc20uFqr
MsShannonGibbs,2015-01-06 21:06:55,@ForOurHobbypic.twitter.com/5WFLCyPQhL
MsShannonGibbs,2015-01-06 21:06:35,@ForOurHobby hahahapic.twitter.com/n7VAedVvU1
MsShannonGibbs,2015-01-06 21:04:08,@ForOurHobby Damn flash. Couldn't fix it :/
MsShannonGibbs,2015-01-06 21:03:18,@WilliamBakerGG Mayhem is the by one and Nemesis is the baby
MsShannonGibbs,2015-01-06 21:00:17,Happy moment of the day to my #GamerGate buddies! Love you guys!pic.twitter.com/r1yW7j1nQe
MsShannonGibbs,2015-01-04 05:05:39,@FatherVirgil aww thanks!
MsShannonGibbs,2015-01-03 23:44:11,@DumbAzzCracka dress actually
MsShannonGibbs,2015-01-03 23:33:16,Wow! 1000 followers'! Thank you!pic.twitter.com/OtnuPAf7GE
MsShannonGibbs,2015-01-03 07:03:07,@Karmagera hahaha!
MsShannonGibbs,2015-01-03 06:55:37,@Karmagera uh-oh!pic.twitter.com/caF1H8iQl0
MsShannonGibbs,2015-01-03 06:51:04,Perspective. #GamerGate #NotYourShield #AntiSJW #WomenAgainstFeminismpic.twitter.com/WtO9bCjmKa
MsShannonGibbs,2015-01-03 06:48:46,@CTRainquest howdy from Dayton!
MsShannonGibbs,2015-01-02 23:08:26,@TheCultOfJim @DrEvilGamer @Totalbiscuit thanks
MsShannonGibbs,2015-01-02 21:25:31,@Sargon_of_Akkad Dude thanks for your new hair care line!  Keeps the SJWs out of my hair! #GamerGate #NotYourShieldpic.twitter.com/TBHEPfxoB9
MsShannonGibbs,2015-01-02 21:15:16,@PhildoBangnz @Wavinator @Totalbiscuit you're kind
