username,time,tweet
_Whtsrfce,2018-10-20 01:30:52,If you fucking roast someone for not wanting to drink you are a fucking wack BITCH.
_Whtsrfce,2018-10-20 00:07:11,Nothing like spending time with @sinTripas_
_Whtsrfce,2018-10-19 19:51:32,My dog just started her period... FUCK
_Whtsrfce,2018-10-19 19:40:30,I need to find some things for my costume .....
_Whtsrfce,2018-10-15 21:21:34,oh he talkin that TALK!pic.twitter.com/EDsVd7Rt5R
_Whtsrfce,2018-10-18 04:26:09,Bringing back this gem because I loved it so much. Just a friendly reminder that no matter your race gender religion sexuality...etc. we are all human and what we look like on the outside does not reflect who we are as people. Everyone deserves to be loved. pic.twitter.com/Tv81tdYWeN
_Whtsrfce,2018-10-18 16:39:06,After actually learning what pan sexuality is it just made me feel more understood.. Love someone for who they are in all forms.
_Whtsrfce,2018-10-18 16:12:58,I wanna go on a hike. Like badly
_Whtsrfce,2018-10-18 16:11:15,Nothing you love lasts too long.
_Whtsrfce,2018-10-18 00:21:26,Being blind is expensive
_Whtsrfce,2018-10-18 15:55:25,My moms so fucking bad with money that will never be me.
_Whtsrfce,2018-10-15 18:16:26,This the best thing I've seen all #spookyseason lmfaoooooooooopic.twitter.com/FIPO439veG
_Whtsrfce,2018-10-18 15:12:57,Excited to go to the movies tonight :)
_Whtsrfce,2018-10-18 14:35:49,I really want a joint right now is that weird?
_Whtsrfce,2018-10-18 14:35:17,What it iss hoe awhatssup?pic.twitter.com/Ta0rNOjnVJ
_Whtsrfce,2018-10-18 14:32:44,I wanna sit and play these keys all day.
_Whtsrfce,2018-10-18 10:07:34,If I didn't love you I wouldn't be here now. And if I didn't want you I would've turned around.
_Whtsrfce,2018-10-18 03:09:24,WHY DO LONG PINKY NAILS ME ME SO UNCOMFORTABLE
_Whtsrfce,2018-10-17 14:13:41,people think I'm secretive.. whole time it's not even they business 
_Whtsrfce,2018-10-17 15:56:29,Tested out some of my new body paint I got..... it works beautifullypic.twitter.com/WgWKckHpD0
_Whtsrfce,2018-10-15 17:30:45,The meat industry is one of the biggest causes of climate change. Eating less meat is simple yet seems to be the one thing people refuse to do. https://twitter.com/mental_floss/status/1051939023193804800 ...
_Whtsrfce,2018-10-15 16:56:29,This scene had me weak as a child. LMFAO i love Regina Hall.pic.twitter.com/vR2rL94PGD
_Whtsrfce,2018-10-15 12:48:22,The problem with America is people that make $700 per hour have convinced people that make $25 per hour that people who make $7.25 per hour are the problem.
_Whtsrfce,2018-10-17 15:15:43,Funny part is she DID it. Boo you had a choice. https://twitter.com/djgreatpaid/status/1052371099898372096 ...
_Whtsrfce,2018-10-17 15:14:38,Makes me so happypic.twitter.com/4585SXvszF
_Whtsrfce,2018-10-17 14:28:54,I have SO much leftover pozole.. HELP.
_Whtsrfce,2018-10-09 15:48:57,I really needed to see thispic.twitter.com/JoljoxorzU
_Whtsrfce,2018-10-16 18:03:52,Y'all keep allowing stupid ass people to become famous smh
_Whtsrfce,2018-10-17 00:21:00,Who wants to kick it
_Whtsrfce,2018-10-16 19:28:16,I sometimes miss having a best friend but the chance of someone being THAT close to me again just doesn't seem worth it every time I think about it. I have my close friends (or one lol) but it's nothing that could hurt me.
_Whtsrfce,2018-10-16 19:15:47,"People who believe in ""respect is earned not given"" just go around disrespecting everyone orrr? I was told treat to everyone with respect until they act in a way otherwise. How can you be a dick to someone and expect them to try to want to earn your respect?"
_Whtsrfce,2018-10-16 18:02:16,I have republicans and democrats in my mentions all tore up because I said the president has more to worry about than a comeback to a petty statement. Whew*
_Whtsrfce,2018-10-16 16:35:03,I know what you mean I live here too. I vote and have been voting for both Democrats and Republicans yet sometimes I have questioned the point of voting. But then I think of the consequences of not voting and well November isn't too far away 
_Whtsrfce,2018-10-16 01:42:41,You ever see the back of someone's neck and just wanna slap it hella hard
_Whtsrfce,2018-10-16 15:19:26,Our standards have been lowered I expect future presidents to come out with their own porn videos lol
_Whtsrfce,2018-10-15 21:37:11,i've either made a great discovery or a terrible mistakepic.twitter.com/hhz1dnxjpW
_Whtsrfce,2018-10-15 16:29:36,I hate going to the mall... lol
_Whtsrfce,2018-10-15 13:25:44,You make me smiiiiiile with my hearrrrt..
_Whtsrfce,2018-10-15 13:12:37,I just stubbed my already broken toe.... my soul has left my body....
_Whtsrfce,2018-10-13 19:39:07,Disney heiress invites Kanye West to headquarters for a sit down.pic.twitter.com/pelmnazdDU
_Whtsrfce,2018-10-13 15:53:59,Me every damn day https://twitter.com/simplymaggie_/status/1051152512990900224 ...
_Whtsrfce,2018-10-13 11:53:17,what is sleeping in?
_Whtsrfce,2018-10-13 04:31:28,HMU for ya cupcake needspic.twitter.com/wq88Cm1VOO
_Whtsrfce,2018-10-13 04:24:48,Baby shower cupcakes :)pic.twitter.com/05qbXnQQ6x
_Whtsrfce,2018-10-13 02:28:11,Just decorated my house for Halloween and I'm soooo proud of myself!
_Whtsrfce,2018-10-12 20:42:31,I rather play a sport or do drills than go to the gym.
_Whtsrfce,2018-10-10 21:19:25,Whenever I eat a salad I feel like a Kardashian
_Whtsrfce,2018-10-09 18:30:53,"""It's just one straw it's just one disposable cup it's just one plastic bag"" - 7.4 billion people.pic.twitter.com/8BKFxGmbWE"
_Whtsrfce,2018-10-08 16:52:27,imma be real with y'all ... i'm fucking chubby
_Whtsrfce,2018-10-10 18:47:34,Fuck Applebee's for allowing a racist manager to continue to work for them. #IQuit
_Whtsrfce,2018-10-10 17:01:52,All this talk about these bang energy drinks. I've never had one. Like really how good can they be and is it worse for me than Pepsi.
_Whtsrfce,2018-10-10 16:45:46,Gonna start a page dedicated to all the puzzles i put together.   And it will be called gettinjiggy
_Whtsrfce,2018-10-10 00:43:43,You can't force a selfish person to care about you. The sooner you learn that the better.
_Whtsrfce,2018-10-10 02:52:46,That moment you toss trash into the trash can but there's NO FUCKING TRASH BAG!
_Whtsrfce,2018-10-09 20:23:09,It won't kill you to ask someone how their days going
_Whtsrfce,2018-10-09 17:49:09,MODESTO AREAI recently started an organization/team to promote artistas Latinxs and other underrepresented artists called !subele!Please give us a follow on Twitter and IG to help promote la Raza @subele209 Much love.
_Whtsrfce,2018-10-08 13:32:25,liquor is nasty but after a few shots so am i
_Whtsrfce,2018-10-09 14:26:59,If you can't figure out when to give and when to take.. you'll forever feel someone owes you something. That's definitely not it.
_Whtsrfce,2018-10-09 16:59:00,I am registered and ready to vote. Are you?
_Whtsrfce,2018-10-08 16:23:59,To anyone who's got something negative towards me their mad about. Suck my dick U R irrelevant
_Whtsrfce,2018-10-08 15:30:06,"I love that they believe strongly ""if nature put it there you don't move it"" and it's a law to not move or stack rocks or even pick up flowers in certain areas. It's a cultural thing and it's THAT important to them."
_Whtsrfce,2018-10-08 15:27:30,What I loved most about being on this island is that beautiful people don't have make up on don't have their hair done and don't care if your skinny or not. Your beauty is determined by your positivity.
_Whtsrfce,2018-10-08 13:42:43,I just seen another tweet say this.... now I feel unoriginal..
_Whtsrfce,2018-10-08 13:41:10,How I feel when I'm drunk as fuck and try to go to bed. https://twitter.com/radishgrl/status/1048265128351858694 ...
_Whtsrfce,2018-10-07 19:16:29,I hate people who put napkins in the sink......
_Whtsrfce,2018-10-07 19:12:23,When your manger is a petty prick.... Ko0l!
_Whtsrfce,2018-10-06 03:42:31,dream come true @ValleyWolf209pic.twitter.com/hXlDTzFIFC
_Whtsrfce,2018-10-03 00:25:08,Day one of being barefoot: I think I broke my toe.
_Whtsrfce,2018-10-02 20:39:14,Dude this house we have for the weekend >> 
_Whtsrfce,2018-10-02 20:06:53,Literally didn't make it out of the parking lot before getting two flat tires........ lol k bye
_Whtsrfce,2018-10-02 19:38:02,I'm in Hawaii bitches 
_Whtsrfce,2018-10-01 19:57:11,There's a difference between thinking you're better than someone and knowing someone ain't shit.
_Whtsrfce,2018-10-01 18:56:30,Being fake may get you somewhere but being real can take you anywhere.
_Whtsrfce,2018-10-01 18:49:11,see you in hell first rounds on me
_Whtsrfce,2018-10-01 09:44:35,I don't know why people don't expect consequences for their actions.
_Whtsrfce,2018-09-30 22:39:47,Waking up on October 1st likepic.twitter.com/iNiOAVRfEl
_Whtsrfce,2018-09-30 15:24:52,kanye saying that he wants the 13th amendment (which abolished slavery) to be repealed and for america to stop outsourcing labor... from a private jet while wearing a trump hat and decked out in yeezy (made in china)... is too much confusion for me
_Whtsrfce,2018-10-01 02:22:11,Why do I think this is a funny but good ass idea?! https://twitter.com/saucyjocyy/status/1046437880837472256 ...
_Whtsrfce,2018-10-01 02:17:29,When my anxiety/depression kicks in https://twitter.com/SimplyMaggie_/status/1046631432410431488 ...
_Whtsrfce,2018-09-29 14:59:28,"I hate a ""I dont like scary movies"" ass bitch"
_Whtsrfce,2018-09-29 01:36:18,Took me so long but clean them brushes ya' nasty hoespic.twitter.com/9M3BcWxASD
_Whtsrfce,2018-09-29 00:32:14,Idk who needs to hear this but take your fucken phone off speaker
_Whtsrfce,2018-09-28 21:35:55,I literally wish I could be high right now.
_Whtsrfce,2018-09-28 14:25:39,HELP I LOST MY JEAN JACKET. #BringHerHome #Missing #AmberAlert
_Whtsrfce,2018-09-28 14:24:07,I can only hate you if I had love for you first. If we ain't never had that you just ain't shit to me.
_Whtsrfce,2018-09-28 13:19:00,i am below & above no one. i judge no one. i hate no one. i just want most of you to get tf away from me so i can be happy.
_Whtsrfce,2018-09-28 14:21:02,My manager literally screamed the N word at work on Sunday I will be sure she is fired. I will not work with someone who uses racial slurs. Fuck you and your job you country cunt.
_Whtsrfce,2018-09-27 12:59:19,"""friends"" that compete with u embarrass you publicly belittle ur thoughts/opinions discuss YOUR business with others make u feel inferior to them and just all around drag u down are not ur friends. they are toxic. and quite frankly ur enemy."
_Whtsrfce,2018-09-27 11:56:26,I packed for Hawaii last night out of excitement and now I'm tired as fuck
_Whtsrfce,2018-09-27 11:51:35,And even when you get it remember how you got it & keep working.
_Whtsrfce,2018-09-21 09:23:39,Think twice before abandon a pet......pic.twitter.com/CIZ8L4tZ46
_Whtsrfce,2018-09-25 09:20:10,This man just said a WORD.pic.twitter.com/WofIiYHrZ3
_Whtsrfce,2018-09-27 01:47:58,I fucking hate my body. There's times were I'm at peace with how it's changed but those moments don't last very long.
_Whtsrfce,2018-09-24 22:55:53,Man if I was rich all my problems would be instantly fixed.
_Whtsrfce,2018-09-25 01:19:46,True life: I'm emotionally attached to Michael Scott
_Whtsrfce,2018-09-25 01:31:17,Update: went to Sally's and got some beads.....? Gonna paint them all yellow though.pic.twitter.com/yfhBr6muz7
_Whtsrfce,2018-09-24 19:54:13,All gums no teeth smiles creep me out
_Whtsrfce,2018-09-24 20:01:30,Literally about to take these nails off....
_Whtsrfce,2018-09-23 15:33:25,there is honestly no reason to lie to me. i'm so understanding. i get life. i know that shit happens. i know people fuck up sometimes. just be straight up with me and tell the truth.
_Whtsrfce,2018-09-24 19:37:38,I'm hellaaaa fucking hurt at how ugly my nails are.... but she tried so hard. :(
_Whtsrfce,2018-09-24 19:37:13,What I asked for..... what I got......pic.twitter.com/5XWjYqdLV5
_Whtsrfce,2018-09-23 15:44:11,me tryna ignore the crackhead at 7-11 at 3 in the morningpic.twitter.com/62hYm3GtnG
_Whtsrfce,2018-09-22 20:56:04,"""cum for me"" is so romantic"
_Whtsrfce,2018-09-24 04:56:18,I could honestly go for a run right now..... but I'd get murdered.
