username,time,tweet
realDonaldTrump,2018-10-19 23:17:36,Beautiful evening in Mesa Arizona with GREAT PATRIOTS - thank you!  http://Vote.GOP  #MAGARallyreplay: https://www.facebook.com/DonaldTrump/videos/242600546612340/ ...pic.twitter.com/pHmU6pMKh7
realDonaldTrump,2018-10-19 23:13:08,This was outside of the massive totally full hangar tonight in Mesa Arizona!  http://Vote.GOP  #MAGApic.twitter.com/7mx98y515I
realDonaldTrump,2018-10-19 21:23:25,On my way - see you all shortly!  http://Vote.GOP https://twitter.com/realdonaldtrump/status/1053448472156749824 ...
realDonaldTrump,2018-10-19 20:51:02,WOW - Mesa Arizona! Look forward to joining everyone soon. Something's happening!! #MAGApic.twitter.com/z6LNGYoICO
realDonaldTrump,2018-10-19 19:47:06,This is what it is all about for the Republican Party! #JobsNotMobspic.twitter.com/8OabccPec5
realDonaldTrump,2018-10-19 14:41:29,#JobsNotMobs!pic.twitter.com/U1suRW5j6G
realDonaldTrump,2018-10-19 13:34:07,Beto O'Rourke is a total lightweight compared to Ted Cruz and he comes nowhere near representing the values and desires of the people of the Great State of Texas. He will never be allowed to turn Texas into Venezuela!
realDonaldTrump,2018-10-19 13:26:19,Secretary of State Mike Pompeo was never given or shown a Transcript or Video of the Saudi Consulate event. FAKE NEWS!
realDonaldTrump,2018-10-19 10:04:45,When referring to the USA I will always capitalize the word Country!
realDonaldTrump,2018-10-19 10:02:49,Congressman Andy Biggs is doing a great job for Arizona and our Country! https://twitter.com/repandybiggsaz/status/1053280612654534657 ...
realDonaldTrump,2018-10-18 23:23:02,#JobsNotMobs!
realDonaldTrump,2018-10-18 23:11:46,Jon Tester says one thing to voters and does the EXACT OPPOSITE in Washington. Tester takes his orders form Pelosi & Schumer. Tester wants to raise your taxes take away your 2A open your borders and deliver MOB RULE. Retire Tester & Elect America-First Patriot Matt Rosendale!
realDonaldTrump,2018-10-18 21:54:52,Thank you Missoula Montana. Get out and VOTE for @MattForMontana and @GregForMontana!! #MAGA https://www.facebook.com/DonaldTrump/videos/442136172980425/ ...pic.twitter.com/nEndInSOhw
realDonaldTrump,2018-10-18 20:11:14,The only thing keeping Tester alive is he has millions and millions of dollars from outside liberals and leftists who couldn't care less about our Country!
realDonaldTrump,2018-10-18 20:04:52,Will be landing soon. Looking forward to seeing our next Senator from Montana Matt Rosendale. He will represent our Country well far better than Jon Tester who will vote with Cryin' Chuck Schumer and Nancy Pelosi - never with us!
realDonaldTrump,2018-10-18 19:49:45,Prime Minister @AbeShinzo of Japan has been working with me to help balance out the one-sided Trade with Japan. These are some of the investments they are making in our Country - just the beginning!pic.twitter.com/ib2yB3Akkt
realDonaldTrump,2018-10-18 18:51:42,Thank you Mexico we look forward to working with you! https://twitter.com/karlazabs/status/1052589131732267009 ...
realDonaldTrump,2018-10-18 17:22:53,Look forward to being there. Something's happening! #MAGA https://twitter.com/MattForMontana/status/1052984302357508096 ...
realDonaldTrump,2018-10-18 16:04:03,Can you believe this and what Democrats are allowing to be done to our Country?pic.twitter.com/4aDpASkjIU
realDonaldTrump,2018-10-18 15:43:32,All Republicans support people with pre-existing conditions and if they don't they will after I speak to them. I am in total support. Also Democrats will destroy your Medicare and I will keep it healthy and well!
realDonaldTrump,2018-10-18 12:46:09,See you tonight Missoula Montana! #MAGARally https://www.donaldjtrump.com/rallies/mt-oct-2018/?utm_medium=web&utm_source=djt_web&utm_content=rally_list ...
realDonaldTrump,2018-10-18 11:53:10,.@StateDept @SecPompeo outside of the West Wing after our meeting this morning in the Oval Office...pic.twitter.com/4GrmMdOhS1
realDonaldTrump,2018-10-18 11:40:23,...the Crown Prince. He is waiting for the results of the investigations being done by the Saudis and Turkey and just gave a news conference to that effect.
realDonaldTrump,2018-10-18 11:40:23,Secretary of State Mike Pompeo returned last night from Saudi Arabia and Turkey. I met with him this morning wherein the Saudi situation was discussed in great detail including his meeting with...
realDonaldTrump,2018-10-18 09:28:45,Congressman @DaveBratVA7th is one of the hardest working and smartest people in Washington. He is strong on the Border Crime the Military our Vets and the 2nd Amendment. He is a powerful vote for MAGA and loves the Great State of Virginia. Dave has my Total Endorsement!
realDonaldTrump,2018-10-18 07:45:43,....The assault on our country at our Southern Border including the Criminal elements and DRUGS pouring in is far more important to me as President than Trade or the USMCA. Hopefully Mexico will stop this onslaught at their Northern Border. All Democrats fault for weak laws!
realDonaldTrump,2018-10-18 07:35:06,....In addition to stopping all payments to these countries which seem to have almost no control over their population I must in the strongest of terms ask Mexico to stop this onslaught - and if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER!..
realDonaldTrump,2018-10-18 07:25:54,I am watching the Democrat Party led (because they want Open Borders and existing weak laws) assault on our country by Guatemala Honduras and El Salvador whose leaders are doing little to stop this large flow of people INCLUDING MANY CRIMINALS from entering Mexico to U.S.....
realDonaldTrump,2018-10-17 22:03:35,Ever since his vicious and totally false statements about Admiral Ron Jackson the highly respected White House Doctor for Obama Bush & me Senator John Tester looks to be in big trouble in the Great State of Montana! He behaved worse than the Democrat Mob did with Justice K!
realDonaldTrump,2018-10-17 18:03:52,This afternoon it was my great honor to present @USMC Sergeant Major John Canley the Medal of Honor in the East Room of the @WhiteHouse!  https://www.facebook.com/WhiteHouse/videos/358569954880471/ ...pic.twitter.com/6JJm1SRcQ9
realDonaldTrump,2018-10-17 16:09:05,LIVE from the White House: Sgt. Maj. John Canley becomes the 300th Marine to receive the Medal of Honor. https://www.pscp.tv/w/bpeOYTFEWktva1lXUllLYXl8MVBsS1FyYk1sb01HRXPHd1rZCqDMO_FR6f_yZ8gMOPOXaKPR47l6J5DOvisi ...
realDonaldTrump,2018-10-17 15:36:08,Congressman Neal Dunn (@DunnCampaign) of Florida has done an outstanding job at everything having to do with #MAGA. Now working hard on hurricane relief and rebuild. Strong on Crime strong on Borders loves our Military and our Vets. Neal has my highest Endorsement!
realDonaldTrump,2018-10-17 15:24:44,College educated women want safety security and healthcare protections - very much along with financial and economic health for themselves and our Country. I supply all of this far better than any Democrat (for decades actually). That's why they will be voting for me!
realDonaldTrump,2018-10-17 13:52:36,pic.twitter.com/mNkDYgu5sr
realDonaldTrump,2018-10-17 13:41:26,pic.twitter.com/MadlgNheSe
realDonaldTrump,2018-10-17 13:38:17,pic.twitter.com/CMxxW2fEDq
realDonaldTrump,2018-10-17 13:29:30,pic.twitter.com/afqHydsMB5
realDonaldTrump,2018-10-17 13:18:53,"""President Donald J. Trump is Following Through on His Promise to Cut Burdensome Red Tape and Unleash the American Economy""Read more:  https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-following-promise-cut-burdensome-red-tape-unleash-american-economy/ ...pic.twitter.com/zF8fEsw3in"
realDonaldTrump,2018-10-17 05:15:01,You can cast your ballot before Election Day in:KSNCTNGet out and vote   http://gop.cm/6016r7aje pic.twitter.com/bxkCMApisn
