username,time,tweet
sir_alexis_,2018-10-20 20:27:35,Mepic.twitter.com/HEmdMYVNZc
sir_alexis_,2018-10-20 20:26:35,One time this bitch told me I was jealous of her because she's going to a university and I'm going to community. Lol ok I hope you're happy being 60000 dollars in debt while finish paying mine off in a year.
sir_alexis_,2018-10-20 20:19:05,pic.twitter.com/lZjiLocmGw - at Centennial Olympic Park
sir_alexis_,2018-10-20 20:08:04,Truhttps://twitter.com/awhalefact/status/1033143709569830912 ...
sir_alexis_,2018-10-20 14:57:06,Cashew cheese?! No but I want to I looooove almond milk
sir_alexis_,2018-10-20 14:48:02,@ayallakarina the fact that you followed me back is amazing! You're so beautiful!
sir_alexis_,2018-10-20 14:42:07,I was mostly just making a joke. I've thought about vegan and if I tried it probably won't be that hard
sir_alexis_,2018-10-20 14:41:08,I love cheese
sir_alexis_,2018-10-20 14:36:15,You're so annoying Like the vegan of guns.
sir_alexis_,2018-10-20 14:33:14,This bitch gets on my NERVES. Like how often do you have an intruder?? Why do you want to shoot someone so damn badhttps://twitter.com/culbert_23/status/1052922503058923520 ...
sir_alexis_,2018-10-20 04:16:49,My dogs name is Blair: We call her: Bug Bugle Dogge Dogg Be-yugs Winnie Princess  Dip shit Pupper Pupperettehttps://twitter.com/jenna_marbles/status/1053488899928936449 ...
sir_alexis_,2018-10-20 04:12:29,You lost me at veganhttps://twitter.com/wokeveganqueen/status/1053373552223797248 ...
sir_alexis_,2018-10-20 04:11:16,NO STOP THAThttps://twitter.com/prettyboiidb_9/status/1053254699904831488 ...
sir_alexis_,2018-10-19 21:19:42,Deadpic.twitter.com/nHuFXBAbql
sir_alexis_,2018-10-19 21:17:49,This fucking clip kills me hahah @yeawon0425https://twitter.com/jiveDurkey/status/1052941921667207168 ...
sir_alexis_,2018-10-19 14:37:26,My neighbor got a puppy and like congratulations on your new baby but shut it the fuck up.
sir_alexis_,2018-10-19 03:36:51,A guy with no teeth at the liquor store said my hair looks like booger's. Thanks dude
sir_alexis_,2018-10-18 15:10:02,"""Do not touch"" must be one of the scariest things to read in Braille. #HighThoughts #marijuanastuffinadrawerpic.twitter.com/SOxWiaA9EF"
sir_alexis_,2018-10-18 07:59:15,You're so fucking extra.
sir_alexis_,2018-10-18 07:56:05,Definitely Frosted Flakeshttps://twitter.com/_louking/status/1052330433785065473 ...
sir_alexis_,2018-10-18 07:51:55,That's a dinosaurhttps://twitter.com/Breaking911/status/1052256259737640960 ...
sir_alexis_,2018-10-17 04:41:31,Says who?pic.twitter.com/Y3Eo37YwD5
sir_alexis_,2018-10-17 04:33:24,In high school I was anorexic and once I realized it I couldn't put on weight to safe my life. Until I started smoking and now I'm the perfect weight https://twitter.com/MarijuanaPosts/status/1052348492687925248 ...
sir_alexis_,2018-10-17 03:31:50,Exactly. She might be a cheating bitch but that doesn't mean I am 
sir_alexis_,2018-10-16 19:27:38,"""The bad version"" what a fucking idiothttps://twitter.com/realdonaldtrump/status/1052168909665824769 ..."
sir_alexis_,2018-10-16 19:25:40,My life has completely changed this past year. My ex would make me feel like shit bc I smoked weed. But after kicking him to the curve and enjoying MY life the way I want to I've never been happy.pic.twitter.com/cHKmCk4zjx
sir_alexis_,2018-10-16 19:18:33,@yeawon0425https://twitter.com/engxl/status/1051988626601590789 ...
sir_alexis_,2018-10-16 19:08:41,Who's shalissa
sir_alexis_,2018-10-16 19:06:02,Beauty blender
sir_alexis_,2018-10-16 19:05:04,I am
sir_alexis_,2018-10-16 03:22:23,pic.twitter.com/ZeKtB2JU8E
sir_alexis_,2018-10-16 03:20:58,"""You left me on read you're a bitch"" No sir I just don't talk to strangers"
sir_alexis_,2018-10-15 18:15:18,pic.twitter.com/tfXG7r9Hop
sir_alexis_,2018-10-15 16:14:03,Littering 
sir_alexis_,2018-10-14 07:57:50,Stopping being a little bitch and take your page off private so I can stalk
sir_alexis_,2018-10-14 06:40:00,#NewProfilePicpic.twitter.com/eKNMVySMAG
sir_alexis_,2018-10-14 05:53:07,My favorite thing to do in the middle of a crowed club and pass gas.
sir_alexis_,2018-10-14 03:12:09,#AtlantaPridepic.twitter.com/KMbopk7PqN
sir_alexis_,2018-10-13 23:35:43,Current life update: eating chicken tenders in the club
