username,time,tweet
wespiser,2018-09-30 21:14:23,Super Cool:  https://arxiv.org/pdf/1809.10756.pdf ...
wespiser,2018-03-26 09:40:43,I used to think we needed Type Theory to ensure correctness turns out we can use deep learning:  https://arxiv.org/pdf/1803.08793.pdf ...
wespiser,2018-03-23 09:40:20,I use twitter to follow a couple technical fields. Can I get a version of the platform minus all the politics ?
wespiser,2018-02-25 16:24:02,What's the coolest thing about 2018? GPU support for almost all my scientific computing packages !
wespiser,2018-02-12 12:04:57,Taking the fast ai deep learning course:  http://course.fast.ai/  so far so good!
wespiser,2018-02-07 15:40:23,looking for resources ! Thank you!
wespiser,2018-02-07 15:40:05,Does anyone do #datascience in sprint cycles? By this I mean exploratory Analysis exp. design algorithm/statistical modeling ?
wespiser,2018-01-30 19:39:18,The future's made of virtual insanity!  https://nicholas.carlini.com/code/audio_adversarial_examples/ ...
wespiser,2018-01-28 14:15:39,New Stan case studies: NNGP and Lotka-Volterra http://andrewgelman.com/2018/01/28/stan-case-studies-nngp-lotka-volterra/ ...
wespiser,2018-01-16 19:47:48,Individual fit better than average fit for planes:  https://www.thestar.com/amp/news/insight/2016/01/16/when-us-air-force-discovered-the-flaw-of-averages.html ...
wespiser,2018-01-01 21:29:25, http://www.wildml.com/2017/12/ai-and-deep-learning-in-2017-a-year-in-review/ ...
wespiser,2018-01-01 13:28:35,Type theory should be used in programming as geometric algebra is used to formulate the Maxwell Equations: to simplify complexity!
wespiser,2017-12-24 12:07:27,geometric algebra with multivector derivatives:  http://docs.sympy.org/0.7.4.1/modules/galgebra/GA.html#multivector-derivatives ...
wespiser,2017-12-24 11:58:29, https://peerj.com/articles/cs-103/ ...
wespiser,2017-11-27 17:30:59, https://blog.jle.im/entry/hamiltonian-dynamics-in-haskell.html#.WhxsWceee6Y.twitter ...
wespiser,2017-11-10 22:37:45,"""One regrettable step in this line of research was my failure to recognize causation as totally a distinct ingredient different from all the probabilistic notions that support evidential reasoning and statistical inference"" Judea Pearl.  http://ftp.cs.ucla.edu/pub/stat_ser/r331.pdf ..."
wespiser,2017-10-12 10:47:33,A Formalism for Stream Graphs: great work!  https://arxiv.org/abs/1710.04073 
wespiser,2017-05-30 19:16:06,New books and new code! #rstats #rstan #rjagspic.twitter.com/QfMGzIe0Bz
wespiser,2017-09-22 19:09:28,Wow spent the last few weeks using STAN are we in the age of practical Bayesian statistics ?  http://mc-stan.org  #bayes #rstats
wespiser,2017-09-19 18:09:50,honestly don't use StateT lazy or strict. Use Reader of var.
wespiser,2017-09-19 14:34:33,Stan Course in Newcastle United Kingdom! http://andrewgelman.com/2017/09/19/stan-course-newcastle-united-kingdom/ ...
wespiser,2017-09-10 11:24:24,"My advice on learning Python:Don't set out to ""learn Python"". Choose a problem you're interested in and learn to solve it with Python."
wespiser,2017-09-10 10:54:12,Anyone who thinks scientists like agreeing with one another has never attended a scientific conference.
wespiser,2017-09-09 23:21:32,Hey #rstats peeps help me crowdsource this problem:What's the source of the #ggplot dataset `midwest` and what data does it hold? 1/n
wespiser,2017-09-08 16:58:58,Bayesian modeling for a couple weeks: finally got #shinystan to work so helpful! ...is this the promised land?
wespiser,2017-09-07 10:40:02,John Wiegley : Using Coq to write fast and correct Haskell : Fiat for fun and profit ( bytestring example ) #haskell symposium #icfp2017pic.twitter.com/bRXzJAA84k
wespiser,2017-09-03 23:12:05,So to summarize the AI debate:pic.twitter.com/kn3UhQMALN
wespiser,2017-09-05 11:35:11,A really cool graphical language for invertible probability monoids:  https://arxiv.org/pdf/1709.00322.pdf ...
